setting,seed,comparison,method_a,method_b,macro_f1_a,macro_f1_b,delta,winner
transport_logistics4 resnet18 shot16 bblr0.1,42,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.853176,0.854271,-0.001096,hybrid_control
transport_logistics4 resnet18 shot16 bblr0.1,43,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.851009,0.858496,-0.007487,hybrid_control
transport_logistics4 resnet18 shot16 bblr0.1,43,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.855070,0.858496,-0.003426,hybrid_control
transport_logistics4 resnet18 shot16 bblr0.1,44,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.857390,0.860684,-0.003294,hybrid_control
transport_logistics4 resnet18 shot16 bblr0.1,44,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.887572,0.860684,0.026888,hybrid_zz_real_amplitudes
transport_logistics4 resnet18 shot16 bblr0.1,45,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.852074,0.854989,-0.002915,hybrid_control
transport_logistics4 resnet18 shot16 bblr0.1,45,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.852328,0.854989,-0.002661,hybrid_control
transport_logistics4 resnet18 shot16 bblr0.1,46,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.852010,0.857754,-0.005743,hybrid_control
transport_logistics4 resnet18 shot16 bblr0.1,46,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.857720,0.857754,-0.000034,hybrid_control
transport_logistics4 resnet18 shot16 bblr0.1,47,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.853034,0.842768,0.010266,hybrid_no_entanglement
transport_logistics4 resnet18 shot16 bblr0.1,47,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.854851,0.842768,0.012083,hybrid_zz_real_amplitudes
transport_logistics4 resnet18 shot16 bblr0.1,48,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.857040,0.852801,0.004240,hybrid_no_entanglement
transport_logistics4 resnet18 shot16 bblr0.1,48,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.856740,0.852801,0.003939,hybrid_zz_real_amplitudes
urban_structural4 small_cnn shot16 bblr0.1,42,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.155249,0.550422,-0.395173,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,42,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.316143,0.550422,-0.234279,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,43,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.450639,0.234417,0.216222,hybrid_no_entanglement
urban_structural4 small_cnn shot16 bblr0.1,43,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.227810,0.234417,-0.006607,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,44,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.677276,0.385674,0.291602,hybrid_no_entanglement
urban_structural4 small_cnn shot16 bblr0.1,44,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.403343,0.385674,0.017669,hybrid_zz_real_amplitudes
urban_structural4 small_cnn shot16 bblr0.1,45,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.235231,0.270542,-0.035311,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,45,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.202061,0.270542,-0.068481,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,46,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.589824,0.596579,-0.006756,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,46,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.536143,0.596579,-0.060437,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,47,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.511883,0.617749,-0.105867,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,47,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.627788,0.617749,0.010038,hybrid_zz_real_amplitudes
urban_structural4 small_cnn shot16 bblr0.1,48,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.594705,0.603400,-0.008695,hybrid_control
urban_structural4 small_cnn shot16 bblr0.1,48,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.537728,0.603400,-0.065672,hybrid_control
