setting,shot,seed,method,circuit_type,accuracy,f1,macro_f1,weighted_f1,roc_auc,runtime_seconds,best_epoch,num_classes,class_names
transport_logistics4_resnet18_shot16,16,42,baseline_cnn,,0.802734375,0.8038989413833302,0.8038989413833302,0.8038989413833302,0.9471143086751302,72.02901495795231,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,42,hybrid_control,,0.8525390625,0.8542711185451136,0.8542711185451136,0.8542711185451136,0.9702593485514323,35.354306125082076,10,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,42,hybrid_no_entanglement,no_entanglement,0.8505859375,0.8515159764892674,0.8515159764892674,0.8515159764892674,0.9695981343587239,63.161190582904965,9,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,42,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.8515625,0.8531755528687655,0.8531755528687655,0.8531755528687655,0.9681243896484375,151.14744562504347,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,43,baseline_cnn,,0.85546875,0.8564693066157796,0.8564693066157796,0.8564693066157796,0.9633776346842448,99.25392570800614,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,43,hybrid_control,,0.857421875,0.8584959831045832,0.8584959831045832,0.8584959831045832,0.9611771901448567,17.60527754202485,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,43,hybrid_no_entanglement,no_entanglement,0.849609375,0.8510087898809313,0.8510087898809313,0.8510087898809313,0.9621168772379558,31.07967487501446,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,43,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.853515625,0.8550695359591949,0.8550695359591949,0.8550695359591949,0.9601338704427084,73.69966412510257,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,44,baseline_cnn,,0.84765625,0.8472538037942149,0.8472538037942149,0.8472538037942149,0.9647496541341147,92.41899662499782,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,44,hybrid_control,,0.859375,0.860684113722207,0.860684113722207,0.860684113722207,0.9652182261149089,27.903004416963086,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,44,hybrid_no_entanglement,no_entanglement,0.857421875,0.8573898785062345,0.8573898785062345,0.8573898785062345,0.9697697957356771,35.55446812498849,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,44,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.8876953125,0.8875721767560751,0.8875721767560751,0.8875721767560751,0.9767583211263021,99.2783333749976,3,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,45,baseline_cnn,,0.853515625,0.8557663063404883,0.8557663063404883,0.8557663063404883,0.9642804463704426,104.81632029195316,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,45,hybrid_control,,0.8525390625,0.8549891267982603,0.8549891267982603,0.8549891267982603,0.963900883992513,23.183746958966367,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,45,hybrid_no_entanglement,no_entanglement,0.849609375,0.8520738781577644,0.8520738781577644,0.8520738781577644,0.9642537434895833,34.8619639580138,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,45,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.849609375,0.8523282249339195,0.8523282249339195,0.8523282249339195,0.9653720855712891,97.00532491598278,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,46,baseline_cnn,,0.853515625,0.8555327624430014,0.8555327624430014,0.8555327624430014,0.9625326792399088,104.5534771248931,6,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,46,hybrid_control,,0.85546875,0.8577535595372887,0.8577535595372887,0.8577535595372887,0.9592533111572266,23.327635957975872,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,46,hybrid_no_entanglement,no_entanglement,0.849609375,0.8520102339181286,0.8520102339181286,0.8520102339181286,0.9618581136067708,35.46551474998705,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,46,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.85546875,0.8577195888684885,0.8577195888684885,0.8577195888684885,0.9582475026448567,83.64310254203156,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,47,baseline_cnn,,0.8466796875,0.8471167661809985,0.8471167661809985,0.8471167661809985,0.9598744710286458,98.33002937491983,7,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,47,hybrid_control,,0.8427734375,0.8427680858155857,0.8427680858155857,0.8427680858155857,0.9587841033935547,19.90263116697315,2,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,47,hybrid_no_entanglement,no_entanglement,0.8525390625,0.8530341806527254,0.8530341806527254,0.8530341806527254,0.9594268798828125,31.097752917092294,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,47,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.8544921875,0.854850941854701,0.854850941854701,0.854850941854701,0.9615027109781901,73.97527383291163,1,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,48,baseline_cnn,,0.798828125,0.8015728623070232,0.8015728623070232,0.8015728623070232,0.9383653004964192,96.22318195796106,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,48,hybrid_control,,0.8525390625,0.8528006054924495,0.8528006054924495,0.8528006054924495,0.9619108835856118,36.72236699995119,8,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,48,hybrid_no_entanglement,no_entanglement,0.8564453125,0.8570403194359959,0.8570403194359959,0.8570403194359959,0.9601097106933594,59.03371062502265,5,4,"airplane,ship,vehicle,harbor"
transport_logistics4_resnet18_shot16,16,48,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.8564453125,0.8567399139363172,0.8567399139363172,0.8567399139363172,0.962261199951172,138.5901054169517,5,4,"airplane,ship,vehicle,harbor"
